uid,id,rarity,time,banner,type,manual
1733281800001623822,20012,3,2024-12-04T03:09:50.000Z,2051,11,false
1733281800001623922,20000,3,2024-12-04T03:09:50.000Z,2051,11,false
1733281800001624022,21017,4,2024-12-04T03:09:50.000Z,2051,11,false
1733281800001624122,20006,3,2024-12-04T03:09:50.000Z,2051,11,false
1733281800001624222,20020,3,2024-12-04T03:09:50.000Z,2051,11,false
1733281800001624322,20002,3,2024-12-04T03:09:50.000Z,2051,11,false
1733281800001624422,20010,3,2024-12-04T03:09:50.000Z,2051,11,false
1733281800001624522,20009,3,2024-12-04T03:09:50.000Z,2051,11,false
1733281800001624622,20001,3,2024-12-04T03:09:50.000Z,2051,11,false
1733281800001641622,1202,4,2024-12-04T03:09:56.000Z,2051,11,false
1733281800001641722,20001,3,2024-12-04T03:09:56.000Z,2051,11,false
1733281800001641822,20001,3,2024-12-04T03:09:56.000Z,2051,11,false
1733281800001641922,20000,3,2024-12-04T03:09:56.000Z,2051,11,false
1733281800001642022,20001,3,2024-12-04T03:09:56.000Z,2051,11,false
1733281800001642122,20004,3,2024-12-04T03:09:56.000Z,2051,11,false
1733281800001642222,20015,3,2024-12-04T03:09:56.000Z,2051,11,false
1733281800001642322,20000,3,2024-12-04T03:09:56.000Z,2051,11,false
1733281800001642422,20000,3,2024-12-04T03:09:56.000Z,2051,11,false
1733281800001642522,1312,4,2024-12-04T03:09:56.000Z,2051,11,false
1733281800001660022,20009,3,2024-12-04T03:10:02.000Z,2051,11,false
1733281800001660122,20000,3,2024-12-04T03:10:02.000Z,2051,11,false
1733281800001660222,20014,3,2024-12-04T03:10:02.000Z,2051,11,false
1733281800001660322,20003,3,2024-12-04T03:10:02.000Z,2051,11,false
1733281800001660422,1202,4,2024-12-04T03:10:02.000Z,2051,11,false
1733281800001660522,20017,3,2024-12-04T03:10:02.000Z,2051,11,false
1733281800001660622,21018,4,2024-12-04T03:10:02.000Z,2051,11,false
1733281800001660722,20015,3,2024-12-04T03:10:02.000Z,2051,11,false
1733281800001660822,20016,3,2024-12-04T03:10:02.000Z,2051,11,false
1733281800001660922,20010,3,2024-12-04T03:10:02.000Z,2051,11,false
1733281800001678122,20004,3,2024-12-04T03:10:07.000Z,2051,11,false
1733281800001678222,20016,3,2024-12-04T03:10:07.000Z,2051,11,false
1733281800001678322,20004,3,2024-12-04T03:10:07.000Z,2051,11,false
1733281800001678422,20002,3,2024-12-04T03:10:07.000Z,2051,11,false
1733281800001678522,20019,3,2024-12-04T03:10:07.000Z,2051,11,false
1733281800001678622,1201,4,2024-12-04T03:10:07.000Z,2051,11,false
1733281800001678722,20003,3,2024-12-04T03:10:07.000Z,2051,11,false
1733281800001678822,20020,3,2024-12-04T03:10:07.000Z,2051,11,false
1733281800001678922,20000,3,2024-12-04T03:10:07.000Z,2051,11,false
1733281800001679022,20013,3,2024-12-04T03:10:07.000Z,2051,11,false
1733281800001692922,20015,3,2024-12-04T03:10:13.000Z,2051,11,false
1733281800001693022,20009,3,2024-12-04T03:10:13.000Z,2051,11,false
1733281800001693122,20006,3,2024-12-04T03:10:13.000Z,2051,11,false
1733281800001693222,20000,3,2024-12-04T03:10:13.000Z,2051,11,false
1733281800001693322,21003,4,2024-12-04T03:10:13.000Z,2051,11,false
1733281800001693422,1201,4,2024-12-04T03:10:13.000Z,2051,11,false
1733281800001693522,1008,4,2024-12-04T03:10:13.000Z,2051,11,false
1733281800001693622,20002,3,2024-12-04T03:10:13.000Z,2051,11,false
1733281800001693722,20005,3,2024-12-04T03:10:13.000Z,2051,11,false
1733281800001693822,20004,3,2024-12-04T03:10:13.000Z,2051,11,false
